Year,Province,Unemployment_Rate
2018,SULAWESI TENGAH,3.37
2018,SULAWESI SELATAN,4.94
2018,SULAWESI TENGGARA,3.19
2018,GORONTALO,3.7
2018,MALUKU,6.95
2018,MALUKU UTARA,4.63
2018,PAPUA,3
2018,INDONESIA,5.3
2017,ACEH,6.57
2017,SUMATERA UTARA,5.6
2017,SUMATERA BARAT,5.58
2017,RIAU,6.22
2017,JAMBI,3.87
2017,SUMATERA SELATAN,4.39
2017,BENGKULU,3.74
2017,LAMPUNG,4.33
2017,KEP. BANGKA BELITUNG,3.78
2017,DKI JAKARTA,7.14
2017,JAWA BARAT,8.22
2017,JAWA TENGAH,4.57
2017,DI YOGYAKARTA,3.02
2017,JAWA TIMUR,4
2017,BANTEN,9.28
2017,BALI,1.48
2017,NUSA TENGGARA BARAT,3.32
2017,NUSA TENGGARA TIMUR,3.27
2017,KALIMANTAN BARAT,4.36
2017,KALIMANTAN TENGAH,4.23
2017,KALIMANTAN SELATAN,4.77
2017,KALIMANTAN TIMUR,6.91
2017,SULAWESI UTARA,7.18
2017,SULAWESI TENGAH,3.81
2017,SULAWESI SELATAN,5.61
2017,SULAWESI TENGGARA,3.3
2017,GORONTALO,4.28
2017,MALUKU,9.29
2017,MALUKU UTARA,5.33
2017,PAPUA,3.62
2017,INDONESIA,5.5
2016,ACEH,7.57
2016,SUMATERA UTARA,5.84
2016,SUMATERA BARAT,5.09
2016,RIAU,7.43
2016,JAMBI,4
2016,SUMATERA SELATAN,4.31
2016,BENGKULU,3.3
2016,LAMPUNG,4.62
2016,KEP. BANGKA BELITUNG,2.6
2016,DKI JAKARTA,6.12
2016,JAWA BARAT,8.89
2016,JAWA TENGAH,4.63
2016,DI YOGYAKARTA,2.72
2016,JAWA TIMUR,4.21
2016,BANTEN,8.92
2016,BALI,1.89
2016,NUSA TENGGARA BARAT,3.94
2016,NUSA TENGGARA TIMUR,3.25
2016,KALIMANTAN BARAT,4.23
2016,KALIMANTAN TENGAH,4.82
2016,KALIMANTAN SELATAN,5.45
2016,KALIMANTAN TIMUR,7.95
2016,SULAWESI UTARA,6.18
2016,SULAWESI TENGAH,3.29
2016,SULAWESI SELATAN,4.8
2016,SULAWESI TENGGARA,2.72
2016,GORONTALO,2.76
2016,MALUKU,7.05
2016,MALUKU UTARA,4.01
2016,PAPUA,3.35
2016,INDONESIA,5.61
2015,ACEH,9.93
2015,SUMATERA UTARA,6.71
2015,SUMATERA BARAT,6.89
2015,RIAU,7.83
2015,JAMBI,4.34
2015,SUMATERA SELATAN,6.07
2015,BENGKULU,4.91
2015,LAMPUNG,5.14
2015,KEP. BANGKA BELITUNG,6.29
2015,DKI JAKARTA,7.23
2015,JAWA BARAT,8.72
2015,JAWA TENGAH,4.99
2015,DI YOGYAKARTA,4.07
2015,JAWA TIMUR,4.47
2015,BANTEN,9.55
2015,BALI,1.99
2015,NUSA TENGGARA BARAT,5.69
2015,NUSA TENGGARA TIMUR,3.83
2015,KALIMANTAN BARAT,5.15
2015,KALIMANTAN TENGAH,4.54
2015,KALIMANTAN SELATAN,4.92
2015,KALIMANTAN TIMUR,7.5
2015,SULAWESI UTARA,9.03
2015,SULAWESI TENGAH,4.1
2015,SULAWESI SELATAN,5.95
2015,SULAWESI TENGGARA,5.55
2015,GORONTALO,4.65
2015,MALUKU,9.93
2015,MALUKU UTARA,6.05
2015,PAPUA,3.99
2015,INDONESIA,6.18
2014,ACEH,9.02
2014,SUMATERA UTARA,6.23
2014,SUMATERA BARAT,6.5
2014,RIAU,6.56
2014,JAMBI,5.08
2014,SUMATERA SELATAN,4.96
2014,BENGKULU,3.47
2014,LAMPUNG,4.79
2014,KEP. BANGKA BELITUNG,5.14
2014,DKI JAKARTA,8.47
2014,JAWA BARAT,8.45
2014,JAWA TENGAH,5.68
2014,DI YOGYAKARTA,3.33
2014,JAWA TIMUR,4.19
2014,BANTEN,9.07
2014,BALI,1.9
2014,NUSA TENGGARA BARAT,5.75
2014,NUSA TENGGARA TIMUR,3.26
2014,KALIMANTAN BARAT,4.04
2014,KALIMANTAN TENGAH,3.24
2014,KALIMANTAN SELATAN,3.8
2014,KALIMANTAN TIMUR,7.38
2014,SULAWESI UTARA,7.54
2014,SULAWESI TENGAH,3.68
2014,SULAWESI SELATAN,5.08
2014,SULAWESI TENGGARA,4.43
2014,GORONTALO,4.18
2014,MALUKU,10.51
2014,MALUKU UTARA,5.29
2014,PAPUA,3.44
2014,INDONESIA,5.94
2013,ACEH,10.12
2013,SUMATERA UTARA,6.45
2013,SUMATERA BARAT,7.02
2013,RIAU,5.48
2013,JAMBI,4.76
2013,SUMATERA SELATAN,4.84
2013,BENGKULU,4.61
2013,LAMPUNG,5.69
2013,KEP. BANGKA BELITUNG,3.65
2013,DKI JAKARTA,8.63
2013,JAWA BARAT,9.16
2013,JAWA TENGAH,6.01
2013,DI YOGYAKARTA,3.24
2013,JAWA TIMUR,4.3
2013,BANTEN,9.54
2013,BALI,1.83
2013,NUSA TENGGARA BARAT,5.3
2013,NUSA TENGGARA TIMUR,3.25
2013,KALIMANTAN BARAT,3.99
2013,KALIMANTAN TENGAH,3
2013,KALIMANTAN SELATAN,3.66
2013,KALIMANTAN TIMUR,7.95
2013,SULAWESI UTARA,6.79
2013,SULAWESI TENGAH,4.19
2013,SULAWESI SELATAN,5.1
2013,SULAWESI TENGGARA,4.38
2013,GORONTALO,4.15
2013,MALUKU,9.91
2013,MALUKU UTARA,3.8
2013,PAPUA,3.15
2013,INDONESIA,6.17
2012,ACEH,9.06
2012,SUMATERA UTARA,6.28
2012,SUMATERA BARAT,6.65
2012,RIAU,4.37
2012,JAMBI,3.2
2012,SUMATERA SELATAN,5.66
2012,BENGKULU,3.62
2012,LAMPUNG,5.2
2012,KEP. BANGKA BELITUNG,3.43
2012,DKI JAKARTA,9.67
2012,JAWA BARAT,9.08
2012,JAWA TENGAH,5.61
2012,DI YOGYAKARTA,3.9
2012,JAWA TIMUR,4.11
2012,BANTEN,9.94
2012,BALI,2.1
2012,NUSA TENGGARA BARAT,5.23
2012,NUSA TENGGARA TIMUR,3.04
2012,KALIMANTAN BARAT,3.54
2012,KALIMANTAN TENGAH,3.14
2012,KALIMANTAN SELATAN,5.19
2012,KALIMANTAN TIMUR,9.02
2012,SULAWESI UTARA,7.98
2012,SULAWESI TENGAH,3.95
2012,SULAWESI SELATAN,6.01
2012,SULAWESI TENGGARA,4.14
2012,GORONTALO,4.47
2012,MALUKU,7.71
2012,MALUKU UTARA,4.82
2012,PAPUA,3.71
2012,INDONESIA,6.13
2011,ACEH,9
2011,SUMATERA UTARA,8.18
2011,SUMATERA BARAT,8.02
2011,RIAU,6.09
2011,JAMBI,4.63
2011,SUMATERA SELATAN,6.6
2011,BENGKULU,3.46
2011,LAMPUNG,6.38
2011,KEP. BANGKA BELITUNG,3.86
2011,DKI JAKARTA,11.69
2011,JAWA BARAT,9.96
2011,JAWA TENGAH,7.07
2011,DI YOGYAKARTA,4.39
2011,JAWA TIMUR,5.38
2011,BANTEN,13.74
2011,BALI,2.95
2011,NUSA TENGGARA BARAT,5.25
2011,NUSA TENGGARA TIMUR,3.11
2011,KALIMANTAN BARAT,4.6
2011,KALIMANTAN TENGAH,3.54
2011,KALIMANTAN SELATAN,6.29
2011,KALIMANTAN TIMUR,11.43
2011,SULAWESI UTARA,10.1
2011,SULAWESI TENGAH,6.78
2011,SULAWESI SELATAN,8.13
2011,SULAWESI TENGGARA,4.69
2011,GORONTALO,6.74
2011,MALUKU,10.81
2011,MALUKU UTARA,5.34
2011,PAPUA,5.02
2011,INDONESIA,7.48
2010,ACEH,8.37
2010,SUMATERA UTARA,7.43
2010,SUMATERA BARAT,6.95
2010,RIAU,8.72
2010,JAMBI,5.39
2010,SUMATERA SELATAN,6.65
2010,BENGKULU,4.59
2010,LAMPUNG,5.57
2010,KEP. BANGKA BELITUNG,5.63
2010,DKI JAKARTA,11.05
2010,JAWA BARAT,10.33
2010,JAWA TENGAH,6.21
2010,DI YOGYAKARTA,5.69
2010,JAWA TIMUR,4.25
2010,BANTEN,13.68
2010,BALI,3.06
2010,NUSA TENGGARA BARAT,5.29
2010,NUSA TENGGARA TIMUR,3.34
2010,KALIMANTAN BARAT,4.62
2010,KALIMANTAN TENGAH,4.14
2010,KALIMANTAN SELATAN,5.25
2010,KALIMANTAN TIMUR,10.1
2010,SULAWESI UTARA,9.61
2010,SULAWESI TENGAH,4.61
2010,SULAWESI SELATAN,8.37
2010,SULAWESI TENGGARA,4.61
2010,GORONTALO,5.16
2010,MALUKU,9.97
2010,MALUKU UTARA,6.03
2010,PAPUA,3.55
2010,INDONESIA,7.14
2009,ACEH,8.71
2009,SUMATERA UTARA,8.45
2009,SUMATERA BARAT,7.97
2009,RIAU,8.56
2009,JAMBI,5.54
2009,SUMATERA SELATAN,7.61
2009,BENGKULU,5.08
2009,LAMPUNG,6.62
2009,KEP. BANGKA BELITUNG,6.14
2009,DKI JAKARTA,12.15
2009,JAWA BARAT,10.96
2009,JAWA TENGAH,7.33
2009,DI YOGYAKARTA,6
2009,JAWA TIMUR,5.08
2009,BANTEN,14.97
2009,BALI,3.13
2009,NUSA TENGGARA BARAT,6.25
2009,NUSA TENGGARA TIMUR,3.97
2009,KALIMANTAN BARAT,5.44
2009,KALIMANTAN TENGAH,4.62
2009,KALIMANTAN SELATAN,6.36
2009,KALIMANTAN TIMUR,10.83
2009,SULAWESI UTARA,10.56
2009,SULAWESI TENGAH,5.43
2009,SULAWESI SELATAN,8.9
2009,SULAWESI TENGGARA,4.74
2009,GORONTALO,5.89
2009,MALUKU,10.57
2009,MALUKU UTARA,6.76
2009,PAPUA,4.08
2009,INDONESIA,7.87
2008,ACEH,9.56
2008,SUMATERA UTARA,9.1
2008,SUMATERA BARAT,8.04
2008,RIAU,8.2
2008,JAMBI,5.14
2008,SUMATERA SELATAN,8.08
2008,BENGKULU,4.9
2008,LAMPUNG,7.15
2008,KEP. BANGKA BELITUNG,5.99
2008,DKI JAKARTA,12.16
2008,JAWA BARAT,12.08
2008,JAWA TENGAH,7.35
2008,DI YOGYAKARTA,5.38
2008,JAWA TIMUR,6.42
2008,BANTEN,15.18
2008,BALI,3.31
2008,NUSA TENGGARA BARAT,6.13
2008,NUSA TENGGARA TIMUR,3.73
2008,KALIMANTAN BARAT,5.41
2008,KALIMANTAN TENGAH,4.59
2008,KALIMANTAN SELATAN,6.18
2008,KALIMANTAN TIMUR,11.11
2008,SULAWESI UTARA,10.65
2008,SULAWESI TENGAH,5.45
2008,SULAWESI SELATAN,9.04
2008,SULAWESI TENGGARA,5.73
2008,GORONTALO,5.65
2008,MALUKU,10.67
2008,MALUKU UTARA,6.48
2008,PAPUA,4.39
2008,INDONESIA,8.39
2007,ACEH,9.84
2007,SUMATERA UTARA,10.1
2007,SUMATERA BARAT,10.31
2007,RIAU,9.79
2007,JAMBI,6.22
2007,SUMATERA SELATAN,9.34
2007,BENGKULU,4.68
2007,LAMPUNG,7.58
2007,KEP. BANGKA BELITUNG,6.49
2007,DKI JAKARTA,12.57
2007,JAWA BARAT,13.08
2007,JAWA TENGAH,7.7
2007,DI YOGYAKARTA,6.1
2007,JAWA TIMUR,6.79
2007,BANTEN,15.75
2007,BALI,3.77
2007,NUSA TENGGARA BARAT,6.48
2007,NUSA TENGGARA TIMUR,3.72
2007,KALIMANTAN BARAT,6.47
2007,KALIMANTAN TENGAH,5.11
2007,KALIMANTAN SELATAN,7.62
2007,KALIMANTAN TIMUR,12.07
2007,SULAWESI UTARA,12.35
2007,SULAWESI TENGAH,8.39
2007,SULAWESI SELATAN,11.25
2007,SULAWESI TENGGARA,6.4
2007,GORONTALO,7.16
2007,MALUKU,12.2
2007,MALUKU UTARA,6.05
2007,PAPUA,5.01
2007,INDONESIA,9.11
2006,ACEH,10.43
2006,SUMATERA UTARA,11.51
2006,SUMATERA BARAT,11.87
2006,RIAU,10.24
2006,JAMBI,6.62
2006,SUMATERA SELATAN,9.33
2006,BENGKULU,6.04
2006,LAMPUNG,9.13
2006,KEP. BANGKA BELITUNG,8.99
2006,DKI JAKARTA,11.4
2006,JAWA BARAT,14.59
2006,JAWA TENGAH,8.02
2006,DI YOGYAKARTA,6.31
2006,JAWA TIMUR,8.19
2006,BANTEN,18.91
2006,BALI,6.04
2006,NUSA TENGGARA BARAT,8.9
2006,NUSA TENGGARA TIMUR,3.65
2006,KALIMANTAN BARAT,8.53
2006,KALIMANTAN TENGAH,6.68
2006,KALIMANTAN SELATAN,8.87
2006,KALIMANTAN TIMUR,13.43
2006,SULAWESI UTARA,14.62
2006,SULAWESI TENGAH,10.31
2006,SULAWESI SELATAN,12.76
2006,SULAWESI TENGGARA,9.67
2006,GORONTALO,7.62
2006,MALUKU,13.72
2006,MALUKU UTARA,6.9
2006,PAPUA,5.83
2006,INDONESIA,10.28
2005,ACEH,14
2005,SUMATERA UTARA,11.9
2005,SUMATERA BARAT,13.34
2005,RIAU,12.16
2005,JAMBI,10.74
2005,SUMATERA SELATAN,12.82
2005,BENGKULU,8.91
2005,LAMPUNG,8.47
2005,KEP. BANGKA BELITUNG,7.19
2005,DKI JAKARTA,15.77
2005,JAWA BARAT,15.53
2005,JAWA TENGAH,9.54
2005,DI YOGYAKARTA,7.59
2005,JAWA TIMUR,8.51
2005,BANTEN,16.59
2005,BALI,5.32
2005,NUSA TENGGARA BARAT,10.29
2005,NUSA TENGGARA TIMUR,4.82
2005,KALIMANTAN BARAT,8.13
2005,KALIMANTAN TENGAH,4.91
2005,KALIMANTAN SELATAN,7.34
2005,KALIMANTAN TIMUR,11.17
2005,SULAWESI UTARA,14.05
2005,SULAWESI TENGAH,7.71
2005,SULAWESI SELATAN,15.93
2005,SULAWESI TENGGARA,10.93
2005,GORONTALO,14.04
2005,MALUKU,15.01
2005,MALUKU UTARA,13.09
2005,PAPUA,7.31
2005,INDONESIA,11.24
2004,ACEH,9.35
2004,SUMATERA UTARA,11.08
2004,SUMATERA BARAT,12.74
2004,RIAU,15.25
2004,JAMBI,6.04
2004,SUMATERA SELATAN,8.37
2004,BENGKULU,6.29
2004,LAMPUNG,7.38
2004,KEP. BANGKA BELITUNG,7.14
2004,DKI JAKARTA,14.7
2004,JAWA BARAT,13.69
2004,JAWA TENGAH,7.72
2004,DI YOGYAKARTA,6.26
2004,JAWA TIMUR,7.69
2004,BANTEN,14.31
2004,BALI,4.66
2004,NUSA TENGGARA BARAT,7.48
2004,NUSA TENGGARA TIMUR,4.48
2004,KALIMANTAN BARAT,7.9
2004,KALIMANTAN TENGAH,5.59
2004,KALIMANTAN SELATAN,6.02
2004,KALIMANTAN TIMUR,10.39
2004,SULAWESI UTARA,10.91
2004,SULAWESI TENGAH,5.85
2004,SULAWESI SELATAN,15.93
2004,SULAWESI TENGGARA,9.35
2004,GORONTALO,12.29
2004,MALUKU,11.67
2004,MALUKU UTARA,7.53
2004,PAPUA,8
2004,INDONESIA,9.86
2003,ACEH,8.97
2003,SUMATERA UTARA,11.02
2003,SUMATERA BARAT,10.38
2003,RIAU,10.74
2003,JAMBI,6.5
2003,SUMATERA SELATAN,9.08
2003,BENGKULU,7.48
2003,LAMPUNG,9.14
2003,KEP. BANGKA BELITUNG,7.37
2003,DKI JAKARTA,14.86
2003,JAWA BARAT,12.49
2003,JAWA TENGAH,7.02
2003,DI YOGYAKARTA,5.62
2003,JAWA TIMUR,8.79
2003,BANTEN,14.18
2003,BALI,5.36
2003,NUSA TENGGARA BARAT,6.34
2003,NUSA TENGGARA TIMUR,4.02
2003,KALIMANTAN BARAT,6.53
2003,KALIMANTAN TENGAH,7.59
2003,KALIMANTAN SELATAN,7.67
2003,KALIMANTAN TIMUR,9.69
2003,SULAWESI UTARA,10.79
2003,SULAWESI TENGAH,4.64
2003,SULAWESI SELATAN,17.32
2003,SULAWESI TENGGARA,10.3
2003,GORONTALO,10.17
2003,MALUKU,12.63
2003,MALUKU UTARA,7.5
2003,PAPUA,6.21
2003,INDONESIA,9.67
2002,ACEH,9.34
2002,SUMATERA UTARA,10.3
2002,SUMATERA BARAT,9.62
2002,RIAU,9.57
2002,JAMBI,5.78
2002,SUMATERA SELATAN,8.14
2002,BENGKULU,6.45
2002,LAMPUNG,8.32
2002,KEP. BANGKA BELITUNG,5.23
2002,DKI JAKARTA,14.39
2002,JAWA BARAT,13.19
2002,JAWA TENGAH,6.66
2002,DI YOGYAKARTA,5.21
2002,JAWA TIMUR,6.43
2002,BANTEN,14.15
2002,BALI,4.52
2002,NUSA TENGGARA BARAT,6.94
2002,NUSA TENGGARA TIMUR,4.35
2002,KALIMANTAN BARAT,8.57
2002,KALIMANTAN TENGAH,6.38
2002,KALIMANTAN SELATAN,9.22
2002,KALIMANTAN TIMUR,11.76
2002,SULAWESI UTARA,11.35
2002,SULAWESI TENGAH,8.06
2002,SULAWESI SELATAN,12.29
2002,SULAWESI TENGGARA,8.33
2002,GORONTALO,13.17
2002,MALUKU,8.08
2002,MALUKU UTARA,15.25
2002,PAPUA,6.01
2002,INDONESIA,9.06
2001,ACEH,7.71
2001,SUMATERA UTARA,9.09
2001,SUMATERA BARAT,8.74
2001,RIAU,6.43
2001,JAMBI,5.61
2001,SUMATERA SELATAN,6.32
2001,BENGKULU,6.01
2001,LAMPUNG,6.39
2001,KEP. BANGKA BELITUNG,7.08
2001,DKI JAKARTA,15.07
2001,JAWA BARAT,11.77
2001,JAWA TENGAH,6.17
2001,DI YOGYAKARTA,5.18
2001,JAWA TIMUR,6.51
2001,BANTEN,12.32
2001,BALI,2.89
2001,NUSA TENGGARA BARAT,5.82
2001,NUSA TENGGARA TIMUR,4.26
2001,KALIMANTAN BARAT,4.84
2001,KALIMANTAN TENGAH,6.14
2001,KALIMANTAN SELATAN,5.91
2001,KALIMANTAN TIMUR,6.81
2001,SULAWESI UTARA,10.21
2001,SULAWESI TENGAH,8.25
2001,SULAWESI SELATAN,10.39
2001,SULAWESI TENGGARA,7.51
2001,GORONTALO,7.78
2001,MALUKU,11.28
2001,MALUKU UTARA,9.32
2001,PAPUA,5.82
2001,INDONESIA,8.1
2000,ACEH,4.8
2000,SUMATERA UTARA,8.52
2000,SUMATERA BARAT,4.38
2000,RIAU,5.93
2000,JAMBI,3.68
2000,SUMATERA SELATAN,5.73
2000,BENGKULU,3.25
2000,LAMPUNG,5.24
2000,KEP. BANGKA BELITUNG,None
2000,DKI JAKARTA,12.08
2000,JAWA BARAT,8.99
2000,JAWA TENGAH,4.86
2000,DI YOGYAKARTA,3.45
2000,JAWA TIMUR,4.39
2000,BANTEN,None
2000,BALI,2.96
2000,NUSA TENGGARA BARAT,4.3
2000,NUSA TENGGARA TIMUR,2.46
2000,KALIMANTAN BARAT,4.23
2000,KALIMANTAN TENGAH,3.7
2000,KALIMANTAN SELATAN,3.97
2000,KALIMANTAN TIMUR,8.88
2000,SULAWESI UTARA,8.66
2000,SULAWESI TENGAH,5.09
2000,SULAWESI SELATAN,6.44
2000,SULAWESI TENGGARA,3.1
2000,GORONTALO,None
2000,MALUKU,None
2000,MALUKU UTARA,None
2000,PAPUA,3.62
2000,INDONESIA,6.08
1999,ACEH,7.56
1999,SUMATERA UTARA,7.67
1999,SUMATERA BARAT,5.88
1999,RIAU,7.62
1999,JAMBI,3.47
1999,SUMATERA SELATAN,5.03
1999,BENGKULU,3.39
1999,LAMPUNG,4.58
1999,KEP. BANGKA BELITUNG,None
1999,DKI JAKARTA,15.01
1999,JAWA BARAT,9.83
1999,JAWA TENGAH,4.35
1999,DI YOGYAKARTA,3.74
1999,JAWA TIMUR,4.95
1999,BANTEN,None
1999,BALI,2.49
1999,NUSA TENGGARA BARAT,1.44
1999,NUSA TENGGARA TIMUR,2.93
1999,KALIMANTAN BARAT,2.02
1999,KALIMANTAN TENGAH,3.67
1999,KALIMANTAN SELATAN,2.37
1999,KALIMANTAN TIMUR,10.99
1999,SULAWESI UTARA,7.75
1999,SULAWESI TENGAH,4.39
1999,SULAWESI SELATAN,6.48
1999,SULAWESI TENGGARA,4.36
1999,GORONTALO,None
1999,MALUKU,4.7
1999,MALUKU UTARA,None
1999,PAPUA,6.42
1999,INDONESIA,6.36
1998,ACEH,6.21
1998,SUMATERA UTARA,7.06
1998,SUMATERA BARAT,5.11
1998,RIAU,5.76
1998,JAMBI,2.59
1998,SUMATERA SELATAN,2.44
1998,BENGKULU,1.97
1998,LAMPUNG,4.28
1998,KEP. BANGKA BELITUNG,None
1998,DKI JAKARTA,12.32
1998,JAWA BARAT,7.69
1998,JAWA TENGAH,5.07
1998,DI YOGYAKARTA,3.72
1998,JAWA TIMUR,4.1
1998,BANTEN,None
1998,BALI,3.09
